first_name,last_name,full_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Joaquin,OVIEDO,Joaquin Oviedo,Argentine,https://top14.lnr.fr/joueur/1955-joaquin-oviedo,,,,,USA Perpignan,53.8,USA Perpignan,53.2,USA Perpignan,62.4,USA Perpignan,65.5
Jeronimo,DE LA FUENTE,Jeronimo De La Fuente,Argentine,https://top14.lnr.fr/joueur/1958-jeronimo-de-la-fuente,,,,,USA Perpignan,69.9,USA Perpignan,74.1,USA Perpignan,74.4,USA Perpignan,78.7
Mathys,LOTRIAN,Mathys Lotrian,France,https://top14.lnr.fr/joueur/1967-mathys-lotrian,,,,,,,,,USA Perpignan,36.0,USA Perpignan,32.3
Sadek,DEGHMACHE,Sadek Deghmache,France,https://top14.lnr.fr/joueur/1973-sadek-deghmache,,,USA Perpignan,30.0,USA Perpignan,40.8,,,USA Perpignan,42.6,USA Perpignan,35.0
Matteo,RODOR,Matteo Rodor,France,https://top14.lnr.fr/joueur/1977-matteo-rodor,,,,,USA Perpignan,35.2,USA Perpignan,29.1,USA Perpignan,14.2,,
Mathieu,ACEBES,Mathieu Acebes,France,https://top14.lnr.fr/joueur/1980-mathieu-acebes,,,USA Perpignan,71.8,USA Perpignan,70.7,,,USA Perpignan,50.5,,
Tristan,LABOUTELEY,Tristan Labouteley,France,https://top14.lnr.fr/joueur/1982-tristan-labouteley,,,USA Perpignan,58.3,USA Perpignan,70.6,,,USA Perpignan,60.5,USA Perpignan,67.7
Tom,ECOCHARD,Tom Ecochard,France,https://top14.lnr.fr/joueur/1987-tom-ecochard,,,USA Perpignan,42.9,USA Perpignan,49.9,,,USA Perpignan,55.7,USA Perpignan,53.9
Dorian,LABORDE,Dorian Laborde,France,https://top14.lnr.fr/joueur/1988-dorian-laborde,,,,,RC Toulon,57.5,USA Perpignan,68.7,,,,
Giorgi,TETRASHVILI,Giorgi Tetrashvili,Géorgie,https://top14.lnr.fr/joueur/1990-giorgi-tetrashvili,SU Agen,32.1,SU Agen,42.5,USA Perpignan,44.1,USA Perpignan,44.8,USA Perpignan,48.0,USA Perpignan,37.4
Victor,MOREAUX,Victor Moreaux,France,https://top14.lnr.fr/joueur/1991-victor-moreaux,Castres Olympique,43.6,Castres Olympique,19.9,Racing 92,24.9,,,USA Perpignan,61.0,,
Shahn,ERU,Shahn Eru,Nouvelle Zélande,https://top14.lnr.fr/joueur/2000-shahn-eru,,,USA Perpignan,55.4,USA Perpignan,34.5,USA Perpignan,31.1,USA Perpignan,22.3,,
Alivereti Uqueqe,DUGUIVALU,Alivereti Uqueqe Duguivalu,Fidji,https://top14.lnr.fr/joueur/2001-alivereti-uqueqe-duguivalu,,,USA Perpignan,34.2,USA Perpignan,56.4,USA Perpignan,63.2,USA Perpignan,65.5,USA Perpignan,71.7
Edward Dratai,SAWAILAU,Edward Dratai Sawailau,Fidji,https://top14.lnr.fr/joueur/2004-edward-dratai-sawailau,,,,,USA Perpignan,34.3,USA Perpignan,55.2,USA Perpignan,74.2,,
Jake Aron,MCINTYRE,Jake Aron Mcintyre,Australie,https://top14.lnr.fr/joueur/2005-jake-aron-mcintyre,SU Agen,66.1,SU Agen,50.8,,,,,USA Perpignan,73.4,USA Perpignan,51.9
