first_name,last_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Quentin,ETIENNE,France,https://top14.lnr.fr/joueur/2559-quentin-etienne,,,,,,,,,,,,
Maxime,MACHENAUD,France,https://top14.lnr.fr/joueur/2640-maxime-machenaud,,,,,,,,,,,,
Yann,DAVID,France,https://top14.lnr.fr/joueur/2648-yann-david,,,,,,,,,,,,
Denis,MARCHOIS,France,https://top14.lnr.fr/joueur/2649-denis-marchois,,,,,,,,,,,,
Thomas,ACQUIER,France,https://top14.lnr.fr/joueur/2650-thomas-acquier,,,,,,,,,,,,
Facundo,BOSCH,Argentine,https://top14.lnr.fr/joueur/2658-facundo-bosch,,,,,,,,,,,,
Louis,BIELLE-BIARREY,France,https://top14.lnr.fr/joueur/277-louis-bielle-biarrey,,,,,,,,,,,,
Thomas Daniel,WILLIS,Angleterre,https://top14.lnr.fr/joueur/295-thomas-daniel-willis,,,,,,,,,,,,
Keanu,DESRUES LIANO IZAGUIRRE,France,https://top14.lnr.fr/joueur/2995-keanu-desrues-liano-izaguirre,,,,,,,,,,,,
Nicolas,DEPOORTERE,France,https://top14.lnr.fr/joueur/304-nicolas-depoortere,,,,,,,,,,,,
Vadim,COBILAS,France,https://top14.lnr.fr/joueur/310-vadim-cobilas,,,,,,,,,,,,
Christopher,VAOTOA,France,https://top14.lnr.fr/joueur/312-christopher-vaotoa,,,,,,,,,,,,
Pablo,UBERTI,France,https://top14.lnr.fr/joueur/313-pablo-uberti,,,,,,,,,,,,
Alban,ROUSSEL,France,https://top14.lnr.fr/joueur/314-alban-roussel,,,,,,,,,,,,
Lekso,KAULASHVILI,Géorgie,https://top14.lnr.fr/joueur/317-lekso-kaulashvili,,,,,,,,,,,,
Thomas,JOLMES,France,https://top14.lnr.fr/joueur/320-thomas-jolmes,,,,,,,,,,,,
Clement,MAYNADIER,France,https://top14.lnr.fr/joueur/321-clement-maynadier,,,,,,,,,,,,
Antoine,MIQUEL,France,https://top14.lnr.fr/joueur/322-antoine-miquel,,,,,,,,,,,,
